上级地址,用户地址,总存数量,总提数量,未释放量,团队收益,未提收益,放大总量,
TZ2H1jrM1hTBFFc1ceBohWzKoGTuYqLvZm,TXNqKsV6Pnyc7M7f5L6zc3XPjyf2aav3PB,347,256.6969376,437.30306245,0,0,694,
TYZPUbTn3ZDiP6gDN9moBtdeMBQKy6QCyY,TGir4wrknz5H3jyqvmjhd7LQs9WcMDAXmb,6129.5,344.5709502,11914.42905,0,0,12259,
TYzowC6J4uRQairh5c7GehjT1qyKQ9gWzx,TADe5VkJhQ6MNPgUnP115cSb9XbUnetxLK,1934.84,1017.60623,2852.07377015,0,0,3869.68,
TYZijB9F5GqsZmX4AxGwFejsagdRUvFHwC,TDfKADzziE333sS4X9DNbNmHrcasMCaSmk,1034.2,246.4846026,1821.91539724,0,0,2068.4,
TYxB8N9n7kHcc9QBcQMaWErCyAfFBWq4NU,TTuFPR4ukjbVtq8mq1EAs1KE5PyMiizz6C,149,153.2102447,353.21024496,0,0,298,
TYxB8N9n7kHcc9QBcQMaWErCyAfFBWq4NU,TKWqigHWGLw5DrM5ycfC5HMgZdqkrumpYG,8261,16234.61263,287.3873729,0,0,16522,
TYx5ZF74UypAuvgRH2HdnGk3pP7Q7xRJxU,TBiezkmSYm693RkLTVRJWA6w3cn8JijYcC,895.88,628.4987092,1254.9735963,0,0,1791.76,
TYx5ZF74UypAuvgRH2HdnGk3pP7Q7xRJxU,TSo1tRhZmbMJJFh3hecjkG4SXodGC6UZqY,26515.61,52753.76169,277.4583112,0,0,53031.22,
TYx1ah5Mw2PtBVdycJUj4NQuYramHEVhR9,THM7DWSUjcwWgyHN8cnJEk3BsgUd8qTqBU,1324.18,1191.271498,1841.56017936,0,0,2648.36,
TYWqDnbf1E5fna3a7coAFwyTgampKv9enA,TD6ZPDeijGbNisrZyy1tMTtGYeS1UY1p6Y,622,194.4076797,1049.59232058,0,0,1244,
TYWM1gzzgBXWc5oufCU6nuyW8VXHP921E1,TCrUrz52mJfbJ7EJEzHgry3K7mCxon5472,2312.2,1900.639969,2790.3268979,0,0,4624.4,
TYWM1gzzgBXWc5oufCU6nuyW8VXHP921E1,TQWU53JENX2EdY5pN6LmTy2omQhqCMMV1A,3266.38,6302.645689,230.1143147,0,0,6532.76,
TYVT7EexqwzxmWukhkf8hVoswj7NRjPbZQ,TF1JikkV5s7PCgVos8D632wx7P85kaWWGf,112.33,43.60631244,181.05368757,0,0,224.66,
TYvFS4MNBzswwrnYXRZvordE5SrZQYMxfv,TJTzb9GhrPERXppUU3we1FSKzbhzbw6wnR,165,163.0652491,166.9347509,0,0,330,
TYvFS4MNBzswwrnYXRZvordE5SrZQYMxfv,THEhWFFtJ1SepCGGvqfZAtQC9gZhd61REs,502.35,0,1004.7,0,0,1004.7,
TYuo4jQARMQkccgagdZkSpDdzFPftf76EF,TM1ejsCr66Yc4kdhqaX3ri2s9V2k789AuC,500,447.1986459,552.80135414,0,0,1000,
TYuo4jQARMQkccgagdZkSpDdzFPftf76EF,TWmhP95w2XQeLrEtByqVUJ2yXwboKSH1Pp,501,253.6707966,748.3292035,0,0,1002,
TYuo4jQARMQkccgagdZkSpDdzFPftf76EF,TYky5oRTH915wX7x9oSEgYcU5kUjGRrSF6,5450,1739.343892,9160.65610766,0,0,10900,
TYULXNvJ6mDgLuynPCs94A4Jvza99edjZa,TN4txXKChhBKQTEfV7KVyGsGd8wu8iXjW3,151.61,96.53286805,206.68713208,0,0,303.22,
TYULXNvJ6mDgLuynPCs94A4Jvza99edjZa,THEGGnPWrT4RRgZZDHPWiJj9kfpsqyuytm,215,56.1571902,373.84280981,0,0,430,
TYuFG9a9QpxLnF5yEzVnFMZxvhJCkHeWwC,TBrqGri8YBH6BiPM1vDJPTfibw11D693AV,651.87,1245.162935,339.16293545,0,0,1303.74,
TYuEnRUQcFdwRCerrZ97K2UVEJPMgvAf6P,TQgkDzxRJsPjbjQsytbaH8e4sFjDvAJbMD,23,0,46.00000011,0,0,46,
TYuEnRUQcFdwRCerrZ97K2UVEJPMgvAf6P,TTYYoW4V6pRCrWKPp4QWv8g7KC5QAtTWxh,24.69,22.28275369,27.09724643,0,0,49.38,
TYuEnRUQcFdwRCerrZ97K2UVEJPMgvAf6P,TBrM3oBBHG1AHXXCNJ1gE4tJNuNaaMceUg,178,101.2822687,254.7177317,0,0,356,
TYuEnRUQcFdwRCerrZ97K2UVEJPMgvAf6P,TR7ctGtC3ANK9wZvbQ7qmPJkvx22eUi3em,261,453.7475429,106.63254147,0,0,522,
TYuEnRUQcFdwRCerrZ97K2UVEJPMgvAf6P,TCHKLxAmrvqGsP37CvJ3HsNx5bPaC7AyRi,321,155.5781809,486.42181911,0,0,642,
TYuEnRUQcFdwRCerrZ97K2UVEJPMgvAf6P,TYzowC6J4uRQairh5c7GehjT1qyKQ9gWzx,1375,883.8238797,1866.17612024,0,0,2750,
TYtSafPpdUPfd2Hu5kDf4cw8dU7muXffpM,TACCM5hG4TFPkon87tUapcXoSY8rRhv1fW,590,660.8195598,519.1804409,0,0,1180,
TYtE7hgLK1SPyZNdD49mJ3F2j4z2e8VXWw,TFpqLheTt9L6RzuUhgqNYx32Sr5zNpHfL1,7851,2691.625789,13010.37421304,0,0,15702,
TYsXJFn43PNt5FccXzXpEyorjuwcgNt7Zj,TKKW6CFQuBBCh8B4qxL2mJ9HopYexQNPfd,3096.5,1093.979749,5099.02025141,0,0,6193,
TYsMVPNjPjdRTrX7MA4aMt31ArLD7UbhnM,TYNhaHK7odVCg9jS9k9FM4ethjPzvzKFDD,300,293.8831804,306.11681961,0,0,600,
TYShx2yTkLhAgtN6mEZPLAXwRsofdCo2pw,TBz14twDYsPxLxqT5iR49VcQdNPe9fXyjc,2301.9,344.9459591,4258.854041,0,0,4603.8,
TYShx2yTkLhAgtN6mEZPLAXwRsofdCo2pw,TGPnD3nhVYfuicszxQiXDD2cM3EbyPCSDR,6813.3,1129.459358,13717.4593569,0,0,13626.6,
TYShx2yTkLhAgtN6mEZPLAXwRsofdCo2pw,TWSLccaWSAxw4eWaNPo6XzoTaZjP7zEaY8,15134.9,2027.940086,28241.8599129,0,0,30269.8,
TYrKQMaYKXwDsjKad6PygU8RJkGR9ShVEn,TFBs5vDyJZTtjeKeX8cRqqfRymporJ3i5u,3673.34711,3613.226869,3733.467352,0,0,7346.694221,
TYRierT8bTGq1e9bRtXSCgtEFh6j2kRyqo,TF6bNuuhWYAbsaYDthob3jGUzgQuuypCT6,644.63,497.2507097,792.00929059,0,0,1289.26,
TYQpS5FoDRB8mVVc4Qk2jxP5vF8dHcNKLk,TB6u5bbrxgFPXtZvE3R9XTBVFKoG2csV6K,108012.7,98421.95061,117603.4494,0,0,216025.4,
TYQpM6VyWunLZMameuzeE736zXULYcBTJK,TLt2jVw7BenLPzuENurJKaG42oucgn2deW,1938.48,3776.368907,1121.92008334,0,0,3876.96,
TYqLCg8Fhttm1QmCqp6B8NkBYEEoUxzmh3,TNykvMCdppQV7aYWXF2CUC4NAVUdj1AAAW,481.27,396.1152151,646.98588833,0,0,962.54,
TYQfryfTxbEPg1azgKMtxw2scinGDAz1cD,TN12ArYMVZ3nEYkMtooB6TthoUADtqJRQr,236.45,88.10044168,384.79955835,0,0,472.9,
TYQfryfTxbEPg1azgKMtxw2scinGDAz1cD,TBuVvFLYEpUPHvCDWmaFZRFETgnnmR3ZkZ,658.46,238.745861,1078.17413898,0,0,1316.92,
TYPEvjhjzuw5XSaqUoLts4xe8tYWYTujSH,TUDQnYPESjih5ZFKk1fMvSC3S7hqmvWyJD,3893,708.1035293,7077.896471,0,0,7786,
TYPEvjhjzuw5XSaqUoLts4xe8tYWYTujSH,TVG15Xc4RBbE6BADd1DfsKQGQz3iinySjA,25043,13156.71657,36929.28343,0,0,50086,
TYP2Ar2kpW1fw3k6PtMMsSJAkUwXUbGmnz,TAt3dAsuMaUBFempNh6BwNRiwsJ5PzL12f,100,100.5832825,99.41671748,0,0,200,
TYP2Ar2kpW1fw3k6PtMMsSJAkUwXUbGmnz,TCr4qquvWqDvzuX9Dy2DPYxELS1hVvVeGD,100,100.5832825,99.41671748,0,0,200,
TYP2Ar2kpW1fw3k6PtMMsSJAkUwXUbGmnz,TM2kKpD7tC4cf3M8iH4iVJmPXa4JisdL1W,100,100.5832825,99.41671748,0,0,200,
TYP2Ar2kpW1fw3k6PtMMsSJAkUwXUbGmnz,TRqNSRxs1arYevht8zvRh5AX1j86yrxTF6,100,100.5832825,99.41671748,0,0,200,
TYP2Ar2kpW1fw3k6PtMMsSJAkUwXUbGmnz,TT2RUfjDXihhFmjrUyTfAoYoPBA1qE7gLv,100,93.59877941,106.40122059,0,0,200,
TYP2Ar2kpW1fw3k6PtMMsSJAkUwXUbGmnz,TWnwVSDQmVHiPgF1GNMo5fFeC9JftJqNxj,100,100.5832825,99.41671748,0,0,200,
TYP2Ar2kpW1fw3k6PtMMsSJAkUwXUbGmnz,TYxJ8zZui4XJr8hxTMDJk7HJQbgRT3jsJp,100,100.5832825,99.41671748,0,0,200,
TYP2Ar2kpW1fw3k6PtMMsSJAkUwXUbGmnz,TBCJhTN9eutKccHxEB4WVpDHWmcab7tcQW,128,112.2285247,143.77147533,0,0,256,
TYP2Ar2kpW1fw3k6PtMMsSJAkUwXUbGmnz,TFEpJE2Uv5bPmNv7oMx7DUkzGePrGQMPjm,128,112.2285247,143.77147533,0,0,256,
TYP2Ar2kpW1fw3k6PtMMsSJAkUwXUbGmnz,TG7pzjAMnJLbdDkEhzgn9TfEfLrNjPkeU2,128,112.2285247,143.77147533,0,0,256,
TYP2Ar2kpW1fw3k6PtMMsSJAkUwXUbGmnz,TKXXFgdXqjNY3G2D2pLvzmUXqTBcyyy8ht,128,112.2285247,143.77147533,0,0,256,
TYP2Ar2kpW1fw3k6PtMMsSJAkUwXUbGmnz,TAExc5QoWJUu1c5hJfqDoGLJr8jzUedKau,200,201.1665651,198.8334349,0,0,400,
TYP2Ar2kpW1fw3k6PtMMsSJAkUwXUbGmnz,TLhAMt4wBiCJXspWu3G36rNUg2AeANMAcy,200,201.1665651,198.8334349,0,0,400,
TYov1D7CYMKg8stuoUxE1aZGf64gjbmSBu,TBc39GrYoN81nZ6GZeJVoAh6RnjAxSUVgp,2382,665.1888833,4098.81111661,0,0,4764,
TYo8AHwnbcrHdkeHtpyUw6BMMydLvQhKgt,TNuaZQfCpHVnLLuWjG1CTdDRWGHjKrXdPP,1197.21,2344.579678,575.44304546,0,0,2394.42,
TYNqTs58xMnK43fdks1BvfnN5FCyPbWz7K,TG8j4daD6ZpwZS8GcM9peL5Z99emt5qZaG,230,37.49862065,422.50137935,0,0,460,
TYnk2gRAchZzXrF2F9vA86Z7TF2RyYzfnq,TEVdQNkesivCfxcoER5jj6t3Nafp3BpUpc,100,63.12415119,263.12415126,0,0,200,
TYMXkk7VwXDzwzics37jtTRgSPQBYf7tp4,THvxZNTATB9BYzHRHMK8sBGACP2MVWF6jT,50,0,100.00000003,0,0,100,
TYiqpEF96fRgsESo6HCFR3oQAJW2yxQe2s,TLbe5kwYUZ4JFn42xETxNBAJhnjBCHLMmq,100,15.1195701,184.88043009,0,0,200,
TYiqpEF96fRgsESo6HCFR3oQAJW2yxQe2s,TXbdhqoQEucM57zEPdXh6JxyceXEH7rH9c,1339.5,1984.918938,694.08106305,0,0,2679,
TYiqpEF96fRgsESo6HCFR3oQAJW2yxQe2s,TViNRvVrDZXJb63wu2kQ6HMei2JEqkeqdr,2466,3030.531901,1901.468102,0,0,4932,
TYiPdw2v3AbPoGB867rJMU5AgJFztArDHT,TQ7DHt5q39kgvc94Gkyyt9H2orFQWKou9x,100,0,200.00000007,0,0,200,
TYiay8fTAP4EuZaKiHiKFUBLh2ppnqA3R5,TLLfY71t7cgxZ2Bf4XZZpicoQtuvu4M6aY,1296.32,1193.964472,2193.96447496,0,0,2592.64,
TYiay8fTAP4EuZaKiHiKFUBLh2ppnqA3R5,TZAQ62PyoAfJvnZeLCFeEHc2P1BAepruo1,4963,933.5870815,9086.23838716,0,0,9926,
TYhKFJSMwqAouCKcDjqFYJFR1ciLyx9h6n,TE8iPSket1aTixVhhEXcsvzCctyL1yEH9U,1591,869.3697981,2312.63020197,0,0,3182,
TYGxw9rsZnJi9XLzpURu3u8DMgGx7DqZi3,TJ2Ypt5k446iQ6CtTp567FCXjDKpXmztoY,203,155.9018013,355.9018013,0,0,406,
TYGxw9rsZnJi9XLzpURu3u8DMgGx7DqZi3,TQ7igxBBpt4Xwtq2tNS2kxueHZvixAL8j9,275.33,213.4132085,337.2467916,0,0,550.66,
TYGxw9rsZnJi9XLzpURu3u8DMgGx7DqZi3,TEAMW6in6N5wU1K5B426CXtPTQtf2yjYpb,1850.71683,1806.725561,1894.708099,0,0,3701.43366,
TYGxw9rsZnJi9XLzpURu3u8DMgGx7DqZi3,TQEAmeY5qBL5SjkWYZywBvS86VTLZBDrZ6,2404,2216.389055,2760.38905695,0,0,4808,
TYGxw9rsZnJi9XLzpURu3u8DMgGx7DqZi3,TBaWCq8E73uacvLGE9WCErTZYXk2huuS6X,5954.41987,11814.3848,94.45494066,0,0,11908.83974,
TYGxw9rsZnJi9XLzpURu3u8DMgGx7DqZi3,TW3vzcbjWAnDW2EtxA1fZWvQVRKGoehq8a,13390.47,26416.09018,364.8498276,0,0,26780.94,
TYGT7o3J8oszncLADzJBhEW7h4wwA4AF6i,TW2Gfy6deELt7t91R1jG5UCpQ2ucmh8mHi,15038.34,29868.69806,182.68117953,0,0,30076.68,
TYfZyjMRBrB11oxxirjPcGyi9aMx4EhsbR,TWotaUk6ixkEtBorcbVeeK9r2uMz9yqeeb,484,262.2405532,705.75944687,0,0,968,
TYfTwEuTM4T7tdhJwRWwLZdHZUySyWzz7i,THCk4Q3qePHroyjuerJd6k99kaAaTJSevd,278,215.093644,340.90635601,0,0,556,
TYFibb4BLdJwFBa4ZFh7xenGmJs2FNXYkx,TTidrybmrzHUVHDUytJk2bXxKv3q8jX6uE,50,61.15534997,38.84465054,0,0,100,
TYFibb4BLdJwFBa4ZFh7xenGmJs2FNXYkx,TFaFQrJ9fj5cWQRgWwa2VmyCvxPaagyhX1,72.29,121.4019907,23.17800958,0,0,144.58,
TYFibb4BLdJwFBa4ZFh7xenGmJs2FNXYkx,TPpNGPryG7houRvGsVxpUwLojrgrGhZWEX,100,0,199.99999998,0,0,200,
TYFibb4BLdJwFBa4ZFh7xenGmJs2FNXYkx,TFrdRcVUgbmkpBy99FzDmuMSeYABRt1mzJ,521,642.0470436,399.9529568,0,0,1042,
TYEyAhd7R2c1eQgHW6DrkT2we3QkDW8LfA,TB3uDaKvD8mK7rzQA1sm6yMehS7fSskfQM,235,3.65647666,466.34352335,0,0,470,
TYexGaXTSC8PY8hHd3eo3dcnaihB34TUUG,TQG9x26uZeWc1LV7YRz7d4KZck1o9Jwn6Z,50,35.89522786,64.10477215,0,0,100,
TYEpFm3GGHCfDqjAJducWFyvBzezEfrqYS,TAX2sFRygCF8GSfWVqEFbpfAPGeqWyQukP,85,110,60.00000001,0,0,170,
TYeM791p9BoknsaF5g6x3BFrLwDTaRdDEW,TB6iRKDLYNxCaLPu5pqf9L2ThSDYtz7Kcf,3344,3125.259983,3562.740018,0,0,6688,
TYcRK7Frg9rGe23cCkxXWgkv2eterGL6SW,TFXYF3UZiyytcvuRwDKBq3jYk1AKGPV8s5,240,228.0145486,251.98545157,0,0,480,
TYcRK7Frg9rGe23cCkxXWgkv2eterGL6SW,TXFh5WVGxqyuQcrWpjdJCykeZq8dg3irzv,5219,6426.648342,4011.35165806,0,0,10438,
TYbdEaMx3BAkv83U6DWUAus6Uo3cW1XtpE,TUyzNvDhvimYYb9PmkuPBYkyjJacbPh3Ym,55,46.70133602,92.70133619,0,0,110,
TYAyAQ3JgsSi4uyRzxszAy932ZVBVz88zD,TFhLszWnPHxNfV6vTBs2P3N2LdsRBMPM7D,20,10.00843272,29.99156728,0,0,40,
TYAyAQ3JgsSi4uyRzxszAy932ZVBVz88zD,TMkDjoJuDAvj23BmMDs9dEaB9qp2ihvH6H,160,69.40878508,250.59121489,0,0,320,
TYAyAQ3JgsSi4uyRzxszAy932ZVBVz88zD,TW57apEYNLXbMS4nhMUw729k89Phe4Mjbz,726,1415.866757,36.13324594,0,0,1452,
TYa9S19RgnCJgmzcidDFfyKdmn3RMjYS6k,TXhuNpq5XvHgCEyKefXQYYmSLmMS89ToGg,50000,0,100000,0,0,100000,
TY9jLsfq7Vmqhe6VUHZFRZNqtHnLX3grkA,TABYp3uNNj1Z5Av5SgkcwWgeng7v4j9okh,275.2,175.2178306,375.18216941,0,0,550.4,
TY9jLsfq7Vmqhe6VUHZFRZNqtHnLX3grkA,TB1xq8kYKSp9uffgPoFmQ8XSjVdiJGmcr3,275.2,175.2178306,375.18216941,0,0,550.4,
TY9jLsfq7Vmqhe6VUHZFRZNqtHnLX3grkA,TNXaM3UWdTr6yYCeu6DE1JEVfwRJ739yQG,3346.78,5219.564572,1473.995428,0,0,6693.56,
TY9jLsfq7Vmqhe6VUHZFRZNqtHnLX3grkA,TWDVEUssiQHYDzJG4iSRYDHbWc4sfZ4Vmq,3461.6186,6265.694032,657.5431684,0,0,6923.2372,
TY7hD3ZcdL6ik7yVR2Pwpin91kMLotsfeC,TTuGmTHXJ3GDNuJKTHtx9tftHQpyLCFkpK,0,0,0,0,0,0,
TY5LzsP3km9s7dxRy4NgJ7LyncSyD81fWM,TMJLhW2VEYHKZjhF4AFsoHRKhq9F1moHxV,152.72,60.70254242,244.73745764,0,0,305.44,
TY57EVYzU953afYw9qfYcMpFjybdfTmTqE,TDtAdyRGdsgihSKitwN4SJ9Mg7ubdAHS64,10324,1854.806896,18793.1931,0,0,20648,
TY4GAt1cXfC7RqTKzvcuGWY9JLU9r69i7S,TUmPKqo2Ta19tANPe4PTWySyA3ALqTSRhd,647,444.4737246,849.5262754,0,0,1294,
TY35tVwmvK4nmtuzZQnDj1yhyuAam6nXdo,TMq8KWu2UCTrT41r1V2W3pZdHXfeFcfae3,1135.4,1473.917499,796.8825016,0,0,2270.8,
TY2tQBzAi7qzH4V1gyLcTs9KjVZYR62GVs,TQ9EPQqwesKUc8VfG66NqDBsMyCzwtiznL,100,30.04029593,230.04029601,0,0,200,
TXZz2iAjebU7bPxgZhjwKzPCBhRBQiuJyF,TMzZQ4rVHSQaUY1a6WUnni4smknqN2xP26,3249,2867.622933,4001.84740914,0,0,6498,
TXZXyfTVFGsyDKGfJjsk2odtaLgTxvcMmA,TBggfw5VehgnvK5qmWWuqGdAiyKMAwtJyD,113.24,13.24452604,213.23547401,0,0,226.48,
TXZXyfTVFGsyDKGfJjsk2odtaLgTxvcMmA,TWHNETvF4npWtcANZFzMAEBooDrmXrt5sb,823,282.9975862,1412.99758599,0,0,1646,
TXZXyfTVFGsyDKGfJjsk2odtaLgTxvcMmA,THPLbhBa5AqszYNwAQ3RJa4DnXykGGRgRe,1890,646.9991466,3184.99914622,0,0,3780,
TXZXyfTVFGsyDKGfJjsk2odtaLgTxvcMmA,TMq7DhSxKu5vCdAdMXYNccWzLr5VXPRx9Z,2630,1377.790793,3882.2092071,0,0,5260,
TXZXyfTVFGsyDKGfJjsk2odtaLgTxvcMmA,TJUD5vSjCGJJgQrsZorN4pZUhhRB3Fumij,8774,5543.629383,14905.31552968,0,0,17548,
TXZEe8m6MH6beS1zTCTwWhd91qt1GRv8DE,TR4397X53FLyZzAB21kUeZxHoWTC94mxcq,1055.01,933.8906477,1176.12935245,0,0,2110.02,
TXzAewt4eDTnedXSo6iUvdds2He3WP8PhM,TPdGv85uDfw4KLvrk7ot9iWMJDx6GyCHz2,823,1549.322255,96.67774654,0,0,1646,
TXz74paom4UtAa9dBzu3HbzsN25sMhK9DB,TSo8UYDy9ssbAyb4F6pZoQXSmNbcAyBr2w,531.83,941.4687692,122.19123132,0,0,1063.66,
TXz2N32nPdErDe6y8hLuSM3rs7ZrQau8uD,TGEikSkB1XCRMrJu7F7PKXRVwLmWJHdVS4,242,172.5185696,370.96389826,0,0,484,
TXz2N32nPdErDe6y8hLuSM3rs7ZrQau8uD,TAYZpnKxNdpkv3cubnZ9sPDVHnZubLLtN5,1315,1290.410029,1339.5899712,0,0,2630,
